Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jack Suwinski","PIT",144,534,26,63,74,13,0.140449438,0.322097378,0.230425056,0.290196078,0.223713646,0.33895131,0.454138702,0.3412210280285742,0.349,112.48714714568678,4.954178233630955,13.214999114659754,-3.804492771625519,2.7520082089756954,"Jack Suwinski",22244,669261
"Geraldo Perdomo","ARI",144,495,6,71,47,16,0.129292929,0.173737373,0.113022113,0.294670846,0.245700245,0.353430353,0.358722358,0.31906399788955847,0.273,98.80149184610468,5.040676231961697,4.3057141881786745,6.096790194511414,2.7184731659711017,"Geraldo Perdomo",22799,672695
"Lane Thomas","WSN",157,682,28,101,86,20,0.052785923,0.258064516,0.200636943,0.324825986,0.267515923,0.315249266,0.468152866,0.3339757632649889,0.319,108.63905154479774,5.849252151325345,13.148349551199036,-9.234799861907959,2.706513175603406,"Lane Thomas",16939,657041
"Ryan Jeffers","MIN",96,335,14,46,43,3,0.098507462,0.27761194,0.213286713,0.359116022,0.276223776,0.36858006,0.489510489,0.3689158027822321,0.334,138.04281655605342,-1.837616785429418,13.432782727985302,2.3119198083877563,2.705007348715862,"Ryan Jeffers",24618,680777
"Jose Siri","TBR",101,364,25,58,56,12,0.054945054,0.357142857,0.272189349,0.268817204,0.221893491,0.26721763,0.49408284,0.31864449521398414,0.301,106.48285963725093,4.194574160967022,7.022063210507083,7.731560111045837,2.704431141346214,"Jose Siri",17452,642350
"Francisco Alvarez","NYM",123,423,25,51,63,2,0.08037825,0.260047281,0.227748691,0.221774193,0.209424083,0.283687943,0.437172774,0.3096770731551709,0.306,97.29293961672862,-3.8395248507149518,-5.258115293522595,17.904109954833984,2.697656946607196,"Francisco Alvarez",26121,682626
"Anthony Santander","BAL",153,656,28,81,95,5,0.083841463,0.231707317,0.214890017,0.29879518,0.257191201,0.324695121,0.472081218,0.3404283598179126,0.318,119.30411814950449,0.08379499893635511,15.257328773688574,-11.064240097999573,2.6406541798389007,"Anthony Santander",14551,623993
"Nolan Arenado","STL",144,612,26,71,93,3,0.066993464,0.165032679,0.192857143,0.278911564,0.266071428,0.315359477,0.458928571,0.327271078131737,0.321,106.86703546792347,-3.2987201223149896,1.907702660975806,3.6534538865089417,2.6330693340281797,"Nolan Arenado",9777,571448
"Luke Raley","TBR",118,406,19,56,49,14,0.068965517,0.315270935,0.240896359,0.330188679,0.249299719,0.333333333,0.490196078,0.35253320829367935,0.329,129.9717877208366,3.8403052100911736,18.420778140092622,-5.855659916996956,2.6284942765127064,"Luke Raley",19354,670042
"Max Kepler","MIN",130,491,24,72,66,1,0.091649694,0.215885947,0.223744292,0.288461538,0.260273972,0.33197556,0.484018264,0.34840303975064496,0.363,123.82502036793926,-3.5081668947823346,10.508595196828601,-0.8398900032043457,2.6276504337842477,"Max Kepler",12144,596146
"Jeff McNeil","NYM",156,648,10,75,55,10,0.060185185,0.100308641,0.107692307,0.288499025,0.27008547,0.333333333,0.377777777,0.314171428088994,0.29,100.30587417451886,1.7438989505171776,1.9894470263467592,1.7137300968170166,2.570061783621988,"Jeff McNeil",15362,643446
"Josh Jung","TEX",122,515,23,75,70,1,0.058252427,0.293203883,0.20083682,0.339869281,0.265690376,0.314563106,0.466527196,0.33417882398494236,0.336,110.25624354525438,-2.9369125864468515,3.3919910542320917,4.549020051956177,2.536680610247249,"Josh Jung",26299,673962
"Jake Burger","- - -",141,540,34,71,80,1,0.059259259,0.275925925,0.268292682,0.284345047,0.25,0.309259259,0.518292682,0.34901234904925027,0.358,120.457709289133,1.0765896029770374,14.588196689902276,-7.5854149758815765,2.5296189159865086,"Jake Burger",22275,669394
"Nolan Gorman","STL",119,464,27,59,76,7,0.114224137,0.318965517,0.241379311,0.296137339,0.236453201,0.327586206,0.477832512,0.3445172030518946,0.358,118.42852683320592,2.6313962596468627,13.224599847862386,-3.701609969139099,2.525485253410548,"Nolan Gorman",22263,669357
"Willi Castro","MIN",124,409,9,60,34,33,0.083129584,0.242053789,0.153631285,0.328063241,0.25698324,0.339066339,0.410614525,0.32733485043929716,0.306,109.2222473909352,6.380572488997132,10.900099700260443,0.39315295219421387,2.5118306480971766,"Willi Castro",17338,650489
"Josh Naylor","CLE",121,495,17,52,97,10,0.066666666,0.137373737,0.18141593,0.326203208,0.307522123,0.353535353,0.488938053,0.35353235330110716,0.345,128.19479912529127,-3.675438159145415,13.047290117421028,-4.8070902824401855,2.498755031920119,"Josh Naylor",18839,647304
"Brandon Drury","LAA",125,523,26,61,83,0,0.047801147,0.26003824,0.235051546,0.307926829,0.26185567,0.305927342,0.496907216,0.3390900086946287,0.319,114.15768535139743,-4.12237313715741,4.749735975757723,2.4135100841522217,2.486227601743194,"Brandon Drury",11615,592273
"Wilmer Flores","SFG",126,454,23,51,60,0,0.09030837,0.138766519,0.224691358,0.285714285,0.283950617,0.35462555,0.508641975,0.3679926854622022,0.336,135.580285271401,-2.38608878897503,17.62561185971419,-8.378966152668,2.4639660266154984,"Wilmer Flores",5827,527038
"Willson Contreras","STL",125,495,20,55,67,6,0.103030303,0.224242424,0.203271028,0.311036789,0.264018691,0.358299595,0.467289719,0.35797573969914365,0.375,127.45088727399335,-4.367899562232196,12.46582839279176,-4.95067024230957,2.43055336400536,"Willson Contreras",11609,575929
"Royce Lewis","MIN",58,239,15,36,52,6,0.083682008,0.230125523,0.239631336,0.353741496,0.30875576,0.372384937,0.548387096,0.39268623859812524,0.349,154.51856929655924,0.0616789679042995,15.674280677627676,0.46171900629997253,2.418778547106057,"Royce Lewis",20437,668904
